,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,7,6,5,6,6,6,7,8,5,6,7,6
Inventory Days,161,179,175,169,198,189,185,178,195,187,230,199
Days Payable,106,102,39,81,74,30,27,23,14,18,22,15
Cash Conversion Cycle,62,83,142,94,131,165,164,163,186,176,215,191
Working Capital Days,1,7,55,62,78,94,99,99,112,113,146,121
ROCE %,69,62,42,35,27,23,25,26,24,13,21,25
