,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-25,-692,16906,4814,14167,21938,-1742,-33532,-12793,30950,20032,22592
Cash from Investing Activity,-397,-600,-302,-872,-1352,159,392,-629,-338,-787,-1204,-732
Cash from Financing Activity,451,-694,2129,7451,5975,-9767,7460,13969,13591,5415,2032,1275
Net Cash Flow,29,-1987,18733,11393,18790,12330,6109,-20192,460,35579,20859,23135
