,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-6227,-4355,-7143,-1365,-3240,6655,-10031,-4756,6694,23074,19164,22777
Cash from Investing Activity,-5864,-6922,-5510,-4778,-4627,-9796,3914,-11023,-8408,-5750,-3585,-8048
Cash from Financing Activity,11968,11429,13136,7903,7253,2896,9370,15440,6372,-15274,-15181,-11572
Net Cash Flow,-123,152,483,1759,-613,-245,3254,-338,4658,2049,397,3156
