,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,88,90,84,84,80,67,77,73,75,87,98,88
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,88,90,84,84,80,67,77,73,75,87,98,88
Working Capital Days,45,24,47,64,69,67,53,37,60,42,43,40
ROCE %,18,19,45,32,27,23,24,25,22,23,26,22
