,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,118,37,50,34,30,53,36,21,65,120,38,58
Inventory Days,,,,,,,5457,495,,,,
Days Payable,,,,,,,457,56,,,,
Cash Conversion Cycle,118,37,50,34,30,53,5035,461,65,120,38,58
Working Capital Days,1344,976,1020,848,635,1070,478,263,452,2617,1312,1574
ROCE %,6,9,8,5,5,7,1,10,9,1,5,6
