,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1226,121,-689,-941,490,-566,1155,478,-232,-671,-452,-2861
Cash from Investing Activity,28,-15,-185,-96,191,14,-973,-971,-1721,-3317,127,2564
Cash from Financing Activity,1564,-442,1566,852,-554,335,-493,970,1974,4259,235,832
Net Cash Flow,366,-336,692,-184,126,-217,-311,476,22,271,-90,536
