,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,336,608,628,642,858,1170,844,1395,1644,2400,3251,3095
Cash from Investing Activity,-97,-224,180,-103,-40,-961,-452,-749,-643,-1657,-1643,-271
Cash from Financing Activity,-253,-396,-769,-497,-817,-33,-408,-594,-890,-509,-1680,-1932
Net Cash Flow,-14,-13,40,42,2,176,-16,52,110,234,-73,892
