,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2829,-2641,-2382,523,3634,4130,5690,11377,8596,7314,1831,89
Cash from Investing Activity,-813,1564,6012,-1822,27,-696,-5389,-7559,-10797,-5084,-816,-1145
Cash from Financing Activity,-362,-514,-1091,-966,-1442,-994,-1188,-843,-405,1205,-319,-112
Net Cash Flow,1654,-1591,2539,-2264,2219,2439,-887,2975,-2606,3434,696,-1168
