,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,645,7666,8228,8532,5112,774,2942,3236,2454,4043,1385,17626
Cash from Investing Activity,-34827,-14790,-8007,-11465,-1825,-1460,-7649,2487,-1082,-8611,-17041,-15459
Cash from Financing Activity,34872,7199,-1109,3445,-3448,716,5120,-6158,-221,3109,15901,-1198
Net Cash Flow,690,75,-888,512,-161,30,413,-436,1151,-1459,246,970
