,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,5111,6603,4615,4214,3960,6024,8769,7984,8345,8993,9420,3205
Cash from Investing Activity,-9443,-8626,-4466,-2809,-904,-334,-2660,-5701,-8299,-4640,-5490,-7453
Cash from Financing Activity,3194,3642,-3,-3058,-3028,-5275,-5252,-3364,281,-3471,-3917,2972
Net Cash Flow,-1138,1618,146,-1653,29,415,858,-1081,328,882,13,-1276
