,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,33,32,27,20,21,18,26,19,20,13,13,10
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,33,32,27,20,21,18,26,19,20,13,13,10
Working Capital Days,-95,-98,-105,-172,-139,-150,-200,-189,-265,-172,-154,-155
ROCE %,9,7,10,11,13,10,7,3,5,11,11,12
