,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,22593,22608,26233,28059,27942,28280,29854,20070,18129,48205,55017,65325
Cash from Investing Activity,-18380,-18676,-25181,-22301,-14091,-30680,-27940,-28286,-29598,-27286,-41478,-39232
Cash from Financing Activity,-4011,-4566,2774,-9672,-11946,-351,1920,9464,19144,-24910,-15203,-24470
Net Cash Flow,203,-634,3826,-3914,1905,-2752,3835,1248,7675,-3991,-1664,1623
