,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2029,1725,2269,3394,3538,3853,3934,2491,2086,3700,2952,2084
Cash from Investing Activity,-1820,-944,-363,-422,-3272,-762,-215,-55,300,-1030,-1387,-6778
Cash from Financing Activity,-553,-684,-1859,-2327,-1622,-2595,-3968,-2523,-1965,-2515,-781,7327
Net Cash Flow,-345,96,48,645,-1357,496,-249,-87,421,155,784,2634
