,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-660,8010,14244,6344,9346,2575,-11120,18237,-5289,59118,919,-39978
Cash from Investing Activity,-308,-435,-380,-1104,-443,-476,-487,-745,-445,-1116,-1429,-1156
Cash from Financing Activity,-1556,-1043,-3771,-1464,-806,124,2865,-1185,7792,290,4035,445
Net Cash Flow,-2525,6532,10092,3776,8096,2224,-8743,16307,2059,58291,3525,-40689
