,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,24483,36918,43261,34374,38134,49550,71459,42346,94877,26958,110654,115032
Cash from Investing Activity,-6301,-27601,-73070,-64706,-36186,-66201,-68192,-94507,-72497,-142385,-109162,-93001
Cash from Financing Activity,-7590,408,13713,8444,-3210,8617,-2001,55906,-2541,101904,17289,10455
Net Cash Flow,10592,9725,-16096,-21888,-1262,-8034,1266,3745,19839,-13523,18781,32486
