,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,17,9,8,5,6,10,16,19,12,15,12,12
Inventory Days,57,60,57,66,90,84,83,63,67,102,83,87
Days Payable,49,55,61,74,117,132,146,100,87,136,122,91
Cash Conversion Cycle,25,14,4,-2,-21,-38,-46,-18,-9,-19,-27,7
Working Capital Days,15,-1,-3,-37,-117,-141,-144,-67,-101,12,-13,-9
ROCE %,11,10,10,9,10,10,11,12,11,8,8,9
