,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,14637,23196,42233,17838,-10011,17865,-59692,-1449,18531,-887,6210,-21271
Cash from Investing Activity,-416,-514,-730,-556,-4005,-551,-414,-2537,-139,-471,-3645,-1096
Cash from Financing Activity,165,-790,5151,-6,-616,-198,3413,4449,14729,-986,-998,-5488
Net Cash Flow,14387,21892,46654,17276,-14632,17116,-56692,462,33120,-2344,1567,-27855
