,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,116,107,109,115,133,127,127,195,121,115,121,124
Inventory Days,169,161,166,178,204,194,204,306,153,180,216,187
Days Payable,135,163,181,195,213,228,255,330,199,244,274,236
Cash Conversion Cycle,150,104,95,98,124,93,76,171,75,51,64,76
Working Capital Days,122,100,85,78,113,99,107,168,72,69,73,68
ROCE %,16,16,19,21,19,22,21,10,10,13,14,14
