,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,162,1699,1441,1409,1396,2585,2839,2356,8739,7212,6496,7751
Cash from Investing Activity,-680,-765,-427,-463,-1734,-1022,-2059,-31282,-2666,-2426,-3575,-1354
Cash from Financing Activity,-178,-72,-1680,-991,469,140,-801,28893,-2175,-6713,-1921,-6227
Net Cash Flow,-696,862,-667,-45,131,1703,-21,-33,3898,-1927,1000,170
