,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,20.0,20,17,24,14,24
Inventory Days,,,,28,28,22
Days Payable,,,,565,298,178
Cash Conversion Cycle,20.0,20,17,-513,-257,-133
Working Capital Days,-28.0,-23,-18,100,317,208
ROCE %,,-115,-135,-12,-13,-6
