,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,310,150,221,296,362,1230,244,1252,512,1428
Cash from Investing Activity,-109,-173,-247,-295,-188,-408,-262,-1012,-427,-1203
Cash from Financing Activity,-196,15,45,-10,-190,-651,11,-175,-201,-227
Net Cash Flow,4,-8,20,-8,-15,171,-7,66,-116,-2
