,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,61,-922,-244,1055,2385,183,682,-4347,-1457,17909,9248,-7074
Cash from Investing Activity,-2968,-2903,-4524,-4357,-5506,-5875,-5467,-7174,-6870,-19686,-3252,-8866
Cash from Financing Activity,4256,4508,5577,1669,2967,6108,6314,13194,6933,406,-5883,15946
Net Cash Flow,1349,684,810,-1633,-154,416,1529,1672,-1394,-1370,113,6
