,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-79,-100,6,133,-354,-140
Cash from Investing Activity,31,-162,15,-130,-603,140
Cash from Financing Activity,82,236,69,-38,927,5
Net Cash Flow,33,-26,90,-34,-30,4
