,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,45.0,19,20,11,9,12
Inventory Days,114.0,135,160,122,150,128
Days Payable,123.0,100,113,77,62,34
Cash Conversion Cycle,35.0,54,68,56,97,106
Working Capital Days,53.0,61,53,37,105,81
ROCE %,,-1,5,13,7,6
