,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,7,13,14,12,12,16,22,31,21,36,17,18
Inventory Days,18,16,17,20,17,18,16,16,18,28,18,22
Days Payable,51,50,56,43,49,56,68,63,56,85,54,58
Cash Conversion Cycle,-25,-20,-24,-11,-20,-22,-31,-17,-16,-22,-19,-18
Working Capital Days,-41,-23,-34,-22,-4,-2,-21,-4,-9,0,-3,-9
ROCE %,73,59,50,40,45,35,31,30,30,25,24,26
