,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,-398,-879,-1158,-2235,-2891,-2327,-4063,692,-4391,-6671
Cash from Investing Activity,,1,1,1,-1,128,-76,-77,-997,-538,-921
Cash from Financing Activity,,475,1008,1141,2244,2953,2824,3923,432,5045,7824
Net Cash Flow,,78,130,-17,9,190,422,-218,127,115,232
