,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,245.0,209,134,106,175,129,103
Inventory Days,,,383,,,,
Days Payable,,,455,,,,
Cash Conversion Cycle,245.0,209,63,106,175,129,103
Working Capital Days,244.0,-345,-51,-30,79,102,27
ROCE %,,4,4,8,10,8,8
