,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,28,649,1625,1965,1601,3127,7265
Cash from Investing Activity,-1511,-4428,-2666,-3743,-9137,-18730,-3857
Cash from Financing Activity,1559,3942,1045,2161,7083,15986,-2973
Net Cash Flow,76,162,3,383,-453,383,435
