,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-9904,2573,14464,-15162,-34495,32209,-38390,37125,30416,12633,28137,22075
Cash from Investing Activity,-4840,-10939,-14166,-7972,9211,-12458,-10007,-18674,-9485,-54288,-27112,-32351
Cash from Financing Activity,7270,14931,7785,31045,22495,-2487,41342,5643,8865,7279,47894,6641
Net Cash Flow,-7474,6566,8082,7910,-2789,17263,-7055,24094,29795,-34375,48919,-3636
