,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,279,173,422,418,116,741,356,210,1082,1656,1516,1461
Cash from Investing Activity,156,24,-1,-207,145,145,-31,53,-622,-346,-1317,-834
Cash from Financing Activity,-438,186,-363,-392,-282,-816,-30,-224,-308,-426,-995,-714
Net Cash Flow,-3,383,57,-182,-21,70,294,39,152,884,-796,-87
