,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,65,127,198,222,433,455,730,807,1280,1375,1372,2630
Cash from Investing Activity,-129,-231,-270,-474,-633,-2482,464,-958,-4657,-1110,-1289,-2313
Cash from Financing Activity,93,118,65,234,196,2025,-1159,209,3357,-180,-179,-205
Net Cash Flow,30,14,-7,-17,-3,-1,34,57,-19,86,-96,112
