,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,1.0,1,1,0,0,1,1,1,0,1,1,1
Inventory Days,38.0,35,35,36,34,34,34,35,34,40,38,33
Days Payable,12.0,12,11,8,10,9,9,10,8,10,8,8
Cash Conversion Cycle,26.0,25,24,28,24,26,25,26,26,30,31,26
Working Capital Days,19.0,19,20,22,11,9,16,17,23,24,24,22
ROCE %,,15,21,21,24,21,24,26,20,13,16,20
