,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,405,496,716,1047,1463,1708,2482,1575,1694,1691,1527,2847
Cash from Investing Activity,-338,-773,-790,-1214,-1001,-1744,-2145,-660,-1508,-1625,-983,-2422
Cash from Financing Activity,-114,-111,-47,-162,-466,25,-262,-292,-858,-15,-593,-417
Net Cash Flow,-47,-388,-121,-329,-4,-10,75,623,-673,51,-50,8
