,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,22,25,27,23,2,3,3,3,3,7,11,9
Inventory Days,38,39,41,41,33,33,31,46,42,62,69,57
Days Payable,70,76,94,96,77,75,92,89,74,108,110,80
Cash Conversion Cycle,-10,-12,-25,-31,-42,-40,-58,-40,-28,-39,-29,-14
Working Capital Days,-20,-20,-27,-33,-45,-49,-58,-35,-37,-23,-12,-12
ROCE %,29,22,22,28,51,53,49,41,25,17,18,27
