,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,9.0,6,6,9,20,18,15,10,13,11,27
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,9.0,6,6,9,20,18,15,10,13,11,27
Working Capital Days,-6.0,-319,90,9,17,-11,11,-22,-17,-16,-4
ROCE %,,65,62,62,62,58,52,47,40,36,32
