,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,,742,455,618,894,1285,1085,1254,1149
Cash from Investing Activity,,,,-297,-176,-633,-777,-928,-483,-508,-218
Cash from Financing Activity,,,,-447,-279,15,-119,-332,-628,-746,-930
Net Cash Flow,,,,-2,0,1,-1,26,-25,0,1
