sector,year,n_companies,roe_mean,roe_median,roce_mean,de_mean,op_margin_mean
IT,2024,15,22.4,21.8,25.1,0.12,28.3
Banking,2024,12,16.7,15.9,18.5,1.85,31.2
Energy,2024,10,18.9,18.1,21.4,0.48,24.7
FMCG,2024,8,27.3,26.5,29.1,0.09,19.8
Pharma,2024,11,20.8,20.2,23.4,0.21,22.5
Auto,2024,14,17.6,17.1,20.3,0.55,16.9
Metals,2024,9,14.2,13.8,17.1,0.73,12.4
Telecom,2024,4,12.5,12.0,14.8,1.12,18.1
