,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,12018,14035,13146,11880,11455,10824,8023,25336,20169,44327,44381,21683
Cash from Investing Activity,-3705,-13099,-15378,-9021,-8794,-9490,-11730,-29176,-14012,-9437,-10905,-18179
Cash from Financing Activity,-8462,-1780,1015,-2617,-4729,-2579,6640,-673,-1695,-37090,-23401,-6981
Net Cash Flow,-149,-844,-1218,241,-2068,-1245,2933,-4513,4462,-2200,10075,-3477
