,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,41,38,39,35,43,38,37,27,21,22,18,12
Inventory Days,142,145,156,165,180,230,224,190,197,213,213,175
Days Payable,137,117,133,126,167,172,161,130,136,166,161,122
Cash Conversion Cycle,46,67,62,74,56,96,99,87,82,69,71,66
Working Capital Days,5,5,-3,19,10,27,16,7,12,-33,4,0
ROCE %,9,-1,10,1,1,6,12,14,6,12,31,13
