,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,19888,9109,14525,14382,13154,16461,21115,16356,4977,10592,41107,35686
Cash from Investing Activity,-10410,-1833,8580,894,8154,455,-7747,-7896,1033,182,-25715,-23423
Cash from Financing Activity,-7382,-7852,-25350,-15026,-19587,-17598,-13564,-10885,-4791,-8453,-13441,-13661
Net Cash Flow,2095,-575,-2246,250,1721,-682,-196,-2426,1219,2321,1951,-1398
