,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,7127,11615,14751,19369,19109,25223,25067,28593,32369,38802,39949,41965
Cash from Investing Activity,-2727,-6038,-9452,-1807,-5010,-16895,3104,1645,8968,-7956,-738,548
Cash from Financing Activity,-3955,-5729,-5673,-17168,-9666,-11026,-26885,-27897,-39915,-32634,-33581,-47878
Net Cash Flow,445,-152,-374,394,4433,-2698,1286,2341,1422,-1788,5630,-5365
