,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,452,638,868,963,513,767,1100,501,827,660,1728,565
Cash from Investing Activity,-105,-144,-376,-485,-121,-220,-946,185,-548,-763,-759,31
Cash from Financing Activity,-247,-252,-310,-754,-621,-98,-409,-318,-716,190,-547,-907
Net Cash Flow,100,242,183,-277,-229,450,-255,368,-437,87,421,-311
