,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,3,3,3,3,4,3,4,5,3,5,5,3
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,3,3,3,3,4,3,4,5,3,5,5,3
Working Capital Days,-50,-44,-76,-60,-63,-72,-70,-64,-80,-186,-126,-57
ROCE %,9,55,17,47,61,38,40,0,5,-14,-13,7
