,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-1687,-8359,-4055,-9611,-5507,-2677,-13142,-5535,-2464,-4239,-8859,-17625
Cash from Investing Activity,-28,-41,-112,-45,-36,-2,86,-76,-55,-25,-34,-193
Cash from Financing Activity,3766,9060,5010,7836,2822,3017,13014,5550,4579,12226,8505,11820
Net Cash Flow,2051,661,843,-1819,-2721,338,-42,-62,2060,7962,-388,-5999
